Nome,Universidade,Campus,Cidade,Email,Site,Eixo,Temática,Ano de criação,Instagram,Facebook,Twitter,YouTube,Estado,Site na instituição,Wikipedia_title,Wikipedia_URL,Universidade_Wikidata_id
PET Conexões de Saberes - Penedo,Universidade Federal de Alagoas,Campus Arapiraca,Arapiraca,petcspenedo@gmail.com,petcspenedo.wixsite.com/petcspenedoufal,Interdisciplinar,,2010,https://instagram.com/petcspenedoufal,https://www.facebook.com/petcspenedoufal,https://twitter.com/petcspenedoufal,https://youtube.com/c/PETConexoesdeSaberesPenedoUFAL, AL,ufal.br/estudante/graduacao/programas/educação-tutorial-pet/pet-penedo,Federal University of Alagoas,https://en.wikipedia.org/wiki/Federal_University_of_Alagoas,Q5440475
PET Ciências Biológicas,Universidade Estadual Paulista Júlio de Mesquita Filho,Campus São José do Rio Preto,São_José_do_Rio_Preto,petbiologiaibilce@gmail.com,petbiologiaibilce.wixsite.com/petbio,Ciências Biológicas,,1994,https://instagram.com/petbiologiaunesp,https://www.facebook.com/petbiologiaunespibilce,,https://www.youtube.com/channel/UCKb85nDFp9nSliIsdvsizoQ, SP,www.ibilce.unesp.br/#!/graduacao/cursos/ciencias-biologicas/pet-biologia/,São Paulo State University,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo_State_University,Q1817137
PET Ciência e Tecnologia,Universidade Federal de Alagoas,Campus A. C. Simões,Maceió,petct.ufal@gmail.com,www.google.com/url?sa=t&source=web&rct=j&url=http://pet.ufal.br/cet/&ved=2ahUKEwi7xPPtsdPsAhXHGbkGHWPADroQFjAAegQIAhAB&usg=AOvVaw3C0xFUwTxke425Qmjh9mLM,Interdisciplinar,Programa de Apoio aos Estudantes das Escolas Públicas do Estado,2010,https://instagram.com/petct.ufal,,,https://www.youtube.com/channel/UCUbsomXy64w4CJ_kQMc-L7g, AL,pet.ufal.br/cet/,Federal University of Alagoas,https://en.wikipedia.org/wiki/Federal_University_of_Alagoas,Q5440475
PET Ações das Engenharias,Universidade Federal de Alagoas,Campus Sertão,Sertão,pet.engenharias@gmail.com,pet.ufal.br/engenharias/,Engenharias,,2010,https://instagram.com/pet.engenharias,https://www.facebook.com/petengenharias,,https://www.youtube.com/user/PETEngenhariasUFAL, AL,,Federal University of Alagoas,https://en.wikipedia.org/wiki/Federal_University_of_Alagoas,Q5440475
PET Letras,Fundação Universidade Federal do Pampa,Campus Bagé,Bagé,pet.letrasbage@gmail.com,,"Linguística, Letras e Arte",,2010,https://instagram.com/pet.letrasbage,https://www.facebook.com/pet.letras2bage/,,https://www.youtube.com/channel/UCTM6uHyqJEjM5uIEQO8C3VA, RS,sites.unipampa.edu.br/petletrasbage/o-pet-letras/,List of universities in Brazil by state,https://en.wikipedia.org/wiki/List_of_universities_in_Brazil_by_state,
PET Matemática,Universidade Estadual Paulista Júlio de Mesquita Filho,Campus São José do Rio Preto,São_José_do_Rio_Preto,petmatibilce@gmail.com,,Ciências Exatas e da Terra,,1988,https://instagram.com/petmatibilce,https://www.facebook.com/petmatematicaibilce,,https://www.youtube.com/channel/UC1-c81KSiCxji4tTNNqZoeQ, SP,www.ibilce.unesp.br/#!/departamentos/matematica/pet/apresentacao/,São Paulo State University,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo_State_University,Q1817137
PET Agronomia,Universidade Federal do Recôncavo da Bahia,Campus Cruz das Almas,Cruz_das_Almas,petagronomiaufrb@gmail.com,www2.ufrb.edu.br/petagronomia/,Ciências Agrárias,,1988,https://instagram.com/petagronomiaufrb_oficial,,,, BA,www2.ufrb.edu.br/pet/o-pet,Federal University of Recôncavo da Bahia,https://en.wikipedia.org/wiki/Federal_University_of_Rec%C3%B4ncavo_da_Bahia,Q6614109
PET Engenharia Civil,Universidade Tecnológica Federal do Paraná,Campus Campo Mourão,Campo_Mourão,pet.civil.cm@gmail.com,www.petcivil.com.br/,Engenharias,,2010,https://instagram.com/petcivilutfpr,https://www.facebook.com/petcivilutfprcm,,http://www.youtube.com/c/PETCivilUTFPRCM, PR,,Federal University of Technology – Paraná,https://en.wikipedia.org/wiki/Federal_University_of_Technology_%E2%80%93_Paran%C3%A1,Q1131055
PET Engenharia Elétrica,Universidade Federal de Itajubá,Campus Prof. José Rodrigues Seabra,Itaubá,peteletricaunifei@gmail.com,peteletricaunifei.blogspot.com/,Engenharias,Engenharias Elétrica e Eletrônica,1992,https://instagram.com/peteletricaunifei,https://www.facebook.com/peteletricaunifei/,,https://www.youtube.com/channel/UC5Fy4NlGFrNFvTqVKUNhrag/featured?view_as=subscriber, MG,unifei.edu.br/prg/pet/,Federal University of Itajubá,https://en.wikipedia.org/wiki/Federal_University_of_Itajub%C3%A1,Q7894372
GET Engenharia Computacional,Universidade Federal de Juiz de Fora,Campus Juiz de Fora,Juiz_de_Fora,get.engcomputacional@engenharia.ufjf.br,www.ufjf.br/get_engcomp/,Interdisciplinar,,2010,https://instagram.com/get.engcomp,,,https://www.youtube.com/channel/UCzgvhQpo6-WMS4CMP8qlhjQ, MG,www2.ufjf.br/estudante/pet-e-get/,Federal University of Juiz de Fora,https://en.wikipedia.org/wiki/Federal_University_of_Juiz_de_Fora,Q7894373
PET Engenharia de Alimentos,Universidade Estadual de Ponta Grossa,Campus Ponta Grossa,Ponta_Grossa,engalimentos.pet@gmail.com,,Ciências Agrárias,,2010,https://instagram.com/petengalimentos,https://www.facebook.com/petengalimuepg,,, PR,,State University of Ponta Grossa,https://en.wikipedia.org/wiki/State_University_of_Ponta_Grossa,Q7228043
PET Química Ambiental,Universidade Estadual Paulista Júlio de Mesquita Filho,Campus São José do Rio Preto,São_José_do_Rio_Preto,petqaibilce@gmail.com,petqaibilce.wixsite.com/home,Ciências Exatas e da Terra,"Pesquisa, ensino e extensão dentro da área de Química e Ciências Ambientais",2010,https://instagram.com/petqaibilce,https://www.facebook.com/petqaibilce,,https://www.youtube.com/channel/UCr-dqTVpqc4K5sH5-HbAZCA, SP,www.ibilce.unesp.br/#!/graduacao/grupos-pets/,São Paulo State University,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo_State_University,Q1817137
PET Ciência da Computação,Universidade Estadual do Oeste do Paraná,Campus Cascavel,Cascavel,petcomp.cascavel@gmail.com,www.inf.unioeste.br/petcomp/,Ciências Exatas e da Terra,,2010,https://instagram.com/petcomp_unioeste,https://www.facebook.com/petcomp,,https://www.youtube.com/channel/UC7c6zwLrLbuqVa4sjUn20Jg, PR,,Western Paraná State University,https://en.wikipedia.org/wiki/Western_Paran%C3%A1_State_University,Q7603637
PET Produção Leiteira,Universidade Tecnológica Federal do Paraná,Campus Dois Vizinhos,Dois_Vizinhos,petleite-dv@utfpr.edu.br,,Ciências Agrárias,Bovinocultura de Leite,2011,https://instagram.com/@petproducaoleiteira,https://www.facebook.com/utfpr.petproducaoleiteira,,https://www.youtube.com/channel/UCK_U3AM-JSIhyhX6KUxCaCA, PR,,Federal University of Technology – Paraná,https://en.wikipedia.org/wiki/Federal_University_of_Technology_%E2%80%93_Paran%C3%A1,Q1131055
PET Economia,Universidade Estadual do Sudoeste da Bahia,Campus Vitória da Conquista,Vitória_da_Conquista,peteconomia@uesb.edu.br,,Ciências Sociais Aplicadas,,2010,https://instagram.com/@peteconomiauesb,,,https://www.youtube.com/channel/UC1uC-736mLRDhptwX8YUovw, BA,,Bahia,https://en.wikipedia.org/wiki/Bahia,
PET Conexões de Saberes Estatísticos,Universidade Federal do Rio Grande,Campus Carreiros,Carreiros,petsabest@gmail.com,petsabest.furg.br,Interdisciplinar,Educação Estatística,2010,https://instagram.com/@petsabest,https://www.facebook.com/PETSabEst.FURG,,, RS,,Federal University of Rio Grande do Sul,https://en.wikipedia.org/wiki/Federal_University_of_Rio_Grande_do_Sul,
PET Educação Física,Universidade Estadual de Londrina,Campus Londrina,Londrina,petedfuel@gmail.com,petef.webs.com/apresentao.htm,Ciências da Saúde,,2010,https://instagram.com/petef.uel,,,https://www.youtube.com/channel/UCLyyhEiJLnIaXKngFnYNVWA, PR,,Londrina,https://en.wikipedia.org/wiki/Londrina,
PET Geografia,Fundação Universidade do Estado de Santa Catarina,Campus Florianópolis,Florianópolis,petgeoudescdrive@gmail.com,udesc.br/faed/petgeo,Ciências Humanas,,1994,https://instagram.com/petgeoudesc,https://cenapet.org/grupos/30/facebook.com/petgeoudesc,,https://cenapet.org/grupos/30/youtube.com/PETGeoTube, SC,udesc.br/servicos/pets,,,
PET Bio Pontal,Universidade Federal de Uberlândia,Campus Pontal,Ituiutaba,petbiopontal@hotmail.com,petbiopontal.wixsite.com/petbio/,Ciências Biológicas,,2009,https://instagram.com/petbiopontal,https://www.facebook.com/petbiopontal,,, MG,www.icenp.ufu.br/graduacao/ciencias-biologicas/saiba-mais/pet,Federal University of Uberlândia,https://en.wikipedia.org/wiki/Federal_University_of_Uberl%C3%A2ndia,Q5440489
PET Zootecnia,Universidade de São Paulo,Campus Pirassununga,Pirassununga,petzootecnia@usp.br,petzoofzea.com.br/,Ciências Agrárias,,1994,https://instagram.com/@petzoousp,https://www.facebook.com/PET.ZOOTECNIA.USP/,,https://www.youtube.com/channel/UC2H61cQSH_82dgnrrqghmSg, SP,,University of São Paulo,https://en.wikipedia.org/wiki/University_of_S%C3%A3o_Paulo,Q835960
PET Engenharia Biomédica,Universidade Federal de Uberlândia,Campus Santa Mônica,Uberlândia,pet.engenhariabiomedica.ufu@gmail.com,petengenhariabiomedica.com/,Engenharias,,2010,https://instagram.com/petengenhariabiomedica,https://www.facebook.com/PetEngenhariaBiomedicaUfu,,https://www.youtube.com/channel/UCGI5CoLikr9Bnm5S7h14y8Q, MG,,Federal University of Uberlândia,https://en.wikipedia.org/wiki/Federal_University_of_Uberl%C3%A2ndia,Q5440489
PET Biologia,Universidade Federal do Amazonas,Campus Manaus,Manaus,petbiologiaufam@ufam.edu.br,pet-biologiaufam.wixsite.com/home,Ciências Biológicas,,1992,https://instagram.com/petbiologiaufam,https://web.facebook.com/petbiologiaufam/?view_public_for=237110539786459,,https://www.youtube.com/channel/UCP65m75m0zgtyFOyYhtKDVA, AM,,Federal University of Amazonas,https://en.wikipedia.org/wiki/Federal_University_of_Amazonas,Q5440476
PET Educação Física,Universidade Federal do Rio Grande do Sul,Campus Centro,Porto_Alegre,petefi.ufrgs@gmail.com,,Ciências da Saúde,,1989,https://instagram.com/petefiufrgs,https://cenapet.org/grupos/35/facebook.com/PETEFIUFRGS,,https://www.youtube.com/channel/UCiMyTfAGeTEc62XwT1IFRtQ, RS,ufrgs.br/petefi,Federal University of Rio Grande do Sul,https://en.wikipedia.org/wiki/Federal_University_of_Rio_Grande_do_Sul,Q766447
PET Engenharia Elétrica,Universidade Federal de Mato Grosso,Campus Cuiabá,Cuiabá,peteneufmt@gmail.com,www.peteletricaufmt.com/,Engenharias,,2010,https://instagram.com/peteletricaufmt,,,https://www.youtube.com/channel/UCFC9PwjAA63tp0SX2uOsPYA, MT,www.ufmt.br/pro-reitoria/proeg/pagina/coordenacao-de-formacao-docentecfd/1432,Federal University of Mato Grosso,https://en.wikipedia.org/wiki/Federal_University_of_Mato_Grosso,Q7894374
PET Matemática,Universidade Estadual de Londrina,Campus Londrina,Londrina,petmat@uel.br,,Ciências Exatas e da Terra,,2006,https://instagram.com/petmat.uel,https://www.facebook.com/PET.Mat.Uel,,https://www.youtube.com/channel/UCdjOAtGddMNIECJAl3Nb1rA, PR,www.uel.br/programas/petmat/,Londrina,https://en.wikipedia.org/wiki/Londrina,
PET Práticas Integradas em Saúde Coletiva,Fundação Universidade Federal do Pampa,Campus Uruguaiana,Uruguaiana,petpiscunipampa2020@gmail.com,,Ciências da Saúde,Saúde Coletiva,2010,https://instagram.com/petpisc,https://www.facebook.com/petpisc,,https://www.youtube.com/channel/UCqf1ii5EUQHSwNS_4npdglg, RS,sites.unipampa.edu.br/petpisc/,List of universities in Brazil by state,https://en.wikipedia.org/wiki/List_of_universities_in_Brazil_by_state,
PET Engenharias,Universidade Estadual de Feira de Santana,Campus Feira de Santana,Feira_de_Santana,petengsuefs@gmail.com,sites.google.com/view/petengsuefs/p%C3%A1gina-inicial,Interdisciplinar,,2010,https://instagram.com/pet.engs.uefs,https://www.facebook.com/petengsuefs,,https://www.youtube.com/channel/UCrhztdfvYLQhBmyledhjjmg, BA,www.ecomp.uefs.br/public_html/pet.php,Feira de Santana,https://en.wikipedia.org/wiki/Feira_de_Santana,
PET Conexões Administração,Universidade Federal do Espírito Santo,Campus Goiabeiras,Vitória,petadmufes@gmail.com,,Ciências Sociais Aplicadas,,2013,https://instagram.com/petadmufes,,,https://www.youtube.com/channel/UCxq1zAlDIQVt90sJ-JBNprA, ES,petadm.ufes.br/,Federal University of Espírito Santo,https://en.wikipedia.org/wiki/Federal_University_of_Esp%C3%ADrito_Santo,Q10387830
PET de Engenharia Civil,Universidade Federal do Ceará,Campus Pici,Fortaleza,bertini@ufc.br,petcivil.ufc.br/portal/,Engenharias,,1992,https://instagram.com/petcivil,https://web.facebook.com/ufcpetcivil/?_rdc=1&_rdr,,https://www.youtube.com/channel/UCV-Xoyz5XoVxfYXXVJqrrhg, CE,,Federal University of Ceará,https://en.wikipedia.org/wiki/Federal_University_of_Cear%C3%A1,Q2749558
PET Conexões Licenciaturas,Universidade Federal do Espírito Santo,Campus Goiabeiras,Vitória,petlicufes@gmail.com,,Interdisciplinar,Docência,2010,https://instagram.com/petlicufes,https://www.facebook.com/petlicufes,https://twitter.com/petlic_ufes,https://www.youtube.com/channel/UCUnudVOLbn3KmqIj3XYNyBA, ES,prograd.ufes.br/programa-de-educacao-tutorial-pet,Federal University of Espírito Santo,https://en.wikipedia.org/wiki/Federal_University_of_Esp%C3%ADrito_Santo,Q10387830
PET Biologia,Universidade Federal do Ceará,Campus Pici,Fortaleza,petbiologiaufc@gmail.com,,Ciências Biológicas,,1992,https://instagram.com/petbiologiaufc,https://www.facebook.com/petbiologiaufc/,,https://www.youtube.com/user/petbiologiaufc/featured, CE,prograd.ufc.br/pt/bolsas/bolsas-do-pet-sesu-programa-de-educacao-tutorial-secretaria-de-educacao-superior/,Federal University of Ceará,https://en.wikipedia.org/wiki/Federal_University_of_Cear%C3%A1,Q2749558
PET Biomedicina,Escola Bahiana de Medicina e Saúde Pública,Campus Cabula,Cabula,pet-biomedicina@googlegroups.com,,Ciências da Saúde,,2010,https://instagram.com/petbiomed,https://www.facebook.com/petbiomedicinaebmsp,,, BA,,Escola Bahiana de Medicina e Saúde Pública,https://en.wikipedia.org/wiki/Escola_Bahiana_de_Medicina_e_Sa%C3%BAde_P%C3%BAblica,Q10274292
PET Engenharia Mecânica,Universidade Federal do Ceará,Campus Pici,Fortaleza,petmec@ufc.br,blogbempessoal.wordpress.com,Engenharias,,1994,https://instagram.com/petmecufc,https://www.facebook.com/PETEngenhariaMecanicaUFC,,https://www.youtube.com/channel/UChhz-YprztOkeHcrW8dKl1w, CE,,Federal University of Ceará,https://en.wikipedia.org/wiki/Federal_University_of_Cear%C3%A1,Q2749558
PET Agricultura Familiar,Universidade Tecnológica Federal do Paraná,Campus Dois Vizinhos,Dois_Vizinhos,petafdv@gmail.com,www.petagriculturafamiliar.com,Ciências Agrárias,,2010,https://instagram.com/petafdv,https://www.facebook.com/petagriculturafamiliar,,https://www.youtube.com/channel/UCGINzDk3Sb2x4sTrYiYw0YA, PR,,Federal University of Technology – Paraná,https://en.wikipedia.org/wiki/Federal_University_of_Technology_%E2%80%93_Paran%C3%A1,Q1131055
PET Direitos,Universidade de São Paulo,Campus Ribeirão Preto,Ribeirão_Preto,pet_direitos@usp.br,,Ciências Sociais Aplicadas,,2012,https://instagram.com/petdireitos,https://www.facebook.com/PETDireitos,,https://www.youtube.com/channel/UCwByZCTCCnylC07JbNed4Fg, SP,,University of São Paulo,https://en.wikipedia.org/wiki/University_of_S%C3%A3o_Paulo,Q835960
PET Interdisciplinar Conexões de Saberes,Universidade Federal do Pará,Campus Belém,Belém,petconexoesdesaberesufpa@gmail.com,,Interdisciplinar,,2010,,https://facebook.com/petinterdisciplinar,,, PA,,Federal University of Pará,https://en.wikipedia.org/wiki/Federal_University_of_Par%C3%A1,Q4558480
PET Medicina Veterinária,Universidade Estadual Paulista Júlio de Mesquita Filho,Campus Botucatu,Botucatu,grupopet.fmvz@gmail.com,,Ciências Agrárias,,1995,https://instagram.com/petveterinaria_btu,https://www.facebook.com/petfmvzbotucatu/,,https://www.youtube.com/channel/UCbS16iDOq4ZrQg5RCMeDJlA/featured, SP,www.fmvz.unesp.br/#!/ensino/extensao/pet,São Paulo State University,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo_State_University,Q1817137
PET Agronomia,Universidade Federal do Ceará,Campus Pici,Fortaleza,petagronomia@ufc.br,,Ciências Agrárias,,1992,https://instagram.com/petagronomiaufc/,https://www.facebook.com/petagronomiaufc/,,, CE,www.petagronomia.ufc.br,Federal University of Ceará,https://en.wikipedia.org/wiki/Federal_University_of_Cear%C3%A1,Q2749558
PET Engenharia Civil,Universidade Federal do Rio Grande do Sul,Campus Centro,Porto_Alegre,petcivil@ufrgs.br,,Engenharias,,1992,https://instagram.com/petcivilufrgs,https://www.facebook.com/ufrgs.petcivil,https://twitter.com/petcivilufrgs,https://www.youtube.com/user/petcivilufrgs, RS,www.ufrgs.br/petcivil/,Federal University of Rio Grande do Sul,https://en.wikipedia.org/wiki/Federal_University_of_Rio_Grande_do_Sul,Q766447
PET Humanidades e Letras,Universidade da Integração Internacional da Lusofonia Afro-brasileira,Campus Auroras,Auroras,pethl@unilab.edu.br,www.pethl.unilab.edu.br/,Interdisciplinar,Práticas interdisciplinares focadas na tríade ensino-pesquisa-extensão.,2013,https://instagram.com/pethldaunilab,,,, CE,,University for International Integration of the Afro-Brazilian Lusophony,https://en.wikipedia.org/wiki/University_for_International_Integration_of_the_Afro-Brazilian_Lusophony,Q10387886
PET Engenharia de Alimentos,Fundação Universidade Federal da Grande Dourados,Campus Unidade II,Dourados,petalimentos.ufgd@gmail.com,petalimentosufgd.blogspot.com/,Engenharias,,2010,https://instagram.com/peteng.alimentos,https://www.facebook.com/petalimentos.ufgd,,, MS,portal.ufgd.edu.br/programas/pet/index,Federal University of Rio de Janeiro,https://en.wikipedia.org/wiki/Federal_University_of_Rio_de_Janeiro,
PET Geografia,Universidade Federal Fluminense,Campus Praia Vermelha,Niterói,petgeo.uff@gmail.com,,Ciências Humanas,,1996,https://instagram.com/petgeografiauff,https://www.facebook.com/petgeografiauff,,https://www.youtube.com/channel/UCPIFK2IGs_jcViQnXbkmOdQ, RJ,,Fluminense Federal University,https://en.wikipedia.org/wiki/Fluminense_Federal_University,Q280247
PET Letras,Fundação Universidade Federal da Grande Dourados,Campus Unidade II,Dourados,petletras.ufgd@ufgd.edu.br,petletrasufgd.wordpress.com/,"Linguística, Letras e Arte",,2010,https://instagram.com/petletrasufgd,,https://twitter.com/pet_letrasufgd,, MS,portal.ufgd.edu.br/programas/pet/index,Federal University of Rio de Janeiro,https://en.wikipedia.org/wiki/Federal_University_of_Rio_de_Janeiro,
PET Engenharias,Fundação Universidade Federal do Pampa,Campus Bagé,Bagé,petengenharias.unipampa@gmail.com,sites.unipampa.edu.br/petengenharias/,Engenharias,Interdisciplinar,2012,https://instagram.com/petengenharias.unipampa,https://www.facebook.com/PETEngenhariasBG/,,https://www.youtube.com/channel/UC-1WGgm8C7-X12KvOBTclXQ, RS,,List of universities in Brazil by state,https://en.wikipedia.org/wiki/List_of_universities_in_Brazil_by_state,
PET Engenharia Florestal,Universidade Federal de Mato Grosso,Campus Cuiabá,Cuiabá,petengenhariaflorestalufmt@gmail.com,www.petengenhariaflorestal.com.br/,Ciências Agrárias,,1981,https://instagram.com/petfloresta.ufmt,https://www.facebook.com/petfloresta.ufmt,,https://www.youtube.com/channel/UClnWHbJltXHkeBME7IifL5Q, MT,,Federal University of Mato Grosso,https://en.wikipedia.org/wiki/Federal_University_of_Mato_Grosso,Q7894374
PET Cidade Saúde e Justiça,Universidade Federal do Piauí,Campus Picos,Picos,petcsj@gmail.com,,Interdisciplinar,,2010,https://instagram.com/pet.ufpipicos,,,https://www.youtube.com/channel/UCvGP4hAMyOB_3qKFbvxOlbQ?view_as=subscriber, PI,www.ufpi.br/pet,Federal University of Piauí,https://en.wikipedia.org/wiki/Federal_University_of_Piau%C3%AD,Q945699
PET Conexões de Saberes Socioambientais,Universidade Federal do Recôncavo da Bahia,Campus Cruz das Almas,Cruz_das_Almas,petsocioambientais@ccaab.ufrb.edu.br,www2.ufrb.edu.br/petsocioambientais/,Interdisciplinar,Socioambiental,2010,https://instagram.com/pet_socioambientais.ufrb,https://www.facebook.com/petrocaufrb,https://twitter.com/@,https://www.youtube.com/channel/UC7d8HxwhOT889yx0Di969Vw, BA,www2.ufrb.edu.br/petsocioambientais/,Federal University of Recôncavo da Bahia,https://en.wikipedia.org/wiki/Federal_University_of_Rec%C3%B4ncavo_da_Bahia,Q6614109
PET Biologia,Universidade Federal de São Carlos,Campus São Carlos,São_Carlos,pet.bio.ufscar@ufscar.br,www.petbioufscar.com/,Ciências Biológicas,,1968,https://instagram.com/petbiologia.ufscar,https://www.facebook.com/petbioufscar,,https://www.youtube.com/channel/UCi-aqFNfx_mMv12-c6sOy8Q, SP,,Federal University of São Carlos,https://en.wikipedia.org/wiki/Federal_University_of_S%C3%A3o_Carlos,Q5440482
PET Biologia,Universidade Regional de Blumenau,Campus Blumenau,Blumenau,petbiofurb@gmail.com,petbiofurb.blogspot.com/,Ciências Biológicas,,1996,https://instagram.com/petbiofurb,,,https://www.youtube.com/user/PETBioFURB, SC,,List of universities in Brazil by state,https://en.wikipedia.org/wiki/List_of_universities_in_Brazil_by_state,
PET História,Universidade Federal do Paraná,Campus Rebouças,Curitiba,memoria.pet.historia@gmail.com,pethistoriaufpr.wordpress.com/,Ciências Humanas,,1992,https://instagram.com/pethistoria.ufpr,https://www.facebook.com/PetHistoriaUfpr,,https://www.youtube.com/channel/UCxUEx7dobCVQkYeSrFZgVZQ, PR,,Federal University of Paraná,https://en.wikipedia.org/wiki/Federal_University_of_Paran%C3%A1,Q1232831
PET Nutrição,Universidade Federal da Bahia,Campus Canela,Salvador,petnutufba@gmail.com,www.petnut.nut.ufba.br/,Ciências da Saúde,,2010,https://instagram.com/%20petnutufba,https://www.facebook.com/PET-Nutri%C3%A7%C3%A3o-UFBA-120289898099265,,https://www.youtube.com/channel/UCmzHZmBQZKcDQiPh-ncf3Lg, BA,www.petnut.nut.ufba.br/,Federal University of Bahia,https://en.wikipedia.org/wiki/Federal_University_of_Bahia,Q159102
PET Engenharia Civil,Universidade Federal do Paraná,Campus Centro Politécnico,Curitiba,petcivilufpr@gmail.com,petcivil.blogspot.com/,Engenharias,,1983,https://instagram.com/petcivilufpr,https://www.facebook.com/petcivil,,https://www.youtube.com/user/PETCivilUFPR, PR,,Federal University of Paraná,https://en.wikipedia.org/wiki/Federal_University_of_Paran%C3%A1,Q1232831
