Nome,Universidade,Campus,Cidade,Email,Site,Eixo,Temática,Ano de criação,Instagram,Facebook,Twitter,YouTube,Contato1,Estado,Site na instituição
PET Química Ambiental,Universidade Estadual Paulista Júlio de Mesquita Filho,Campus São José do Rio Preto,São José do Rio Preto ,petqaibilce@gmail.com,petqaibilce.wixsite.com/home,Ciências Exatas e da Terra,"Pesquisa, ensino e extensão dentro da área de Química e Ciências Ambientais",2010,https://instagram.com/petqaibilce,https://www.facebook.com/petqaibilce,,https://www.youtube.com/channel/UCr-dqTVpqc4K5sH5-HbAZCA,, SP,www.ibilce.unesp.br/#!/graduacao/grupos-pets/
PET Ciência da Computação,Universidade Estadual do Oeste do Paraná,Campus Cascavel,Cascavel ,petcomp.cascavel@gmail.com,www.inf.unioeste.br/petcomp/,Ciências Exatas e da Terra,,2010,https://instagram.com/petcomp_unioeste,https://www.facebook.com/petcomp,,https://www.youtube.com/channel/UC7c6zwLrLbuqVa4sjUn20Jg,, PR,
PET Produção Leiteira,Universidade Tecnológica Federal do Paraná,Campus Dois Vizinhos,Dois Vizinhos ,petleite-dv@utfpr.edu.br,,Ciências Agrárias,Bovinocultura de Leite,2011,https://instagram.com/@petproducaoleiteira,https://www.facebook.com/utfpr.petproducaoleiteira,,https://www.youtube.com/channel/UCK_U3AM-JSIhyhX6KUxCaCA,, PR,
PET Economia,Universidade Estadual do Sudoeste da Bahia,Campus Vitória da Conquista,Vitória da Conquista ,peteconomia@uesb.edu.br,,Ciências Sociais Aplicadas,,2010,https://instagram.com/@peteconomiauesb,,,https://www.youtube.com/channel/UC1uC-736mLRDhptwX8YUovw,, BA,
PET Conexões de Saberes Estatísticos,Universidade Federal do Rio Grande,Campus Carreiros,Carreiros ,petsabest@gmail.com,petsabest.furg.br,Interdisciplinar,Educação Estatística,2010,https://instagram.com/@petsabest,https://www.facebook.com/PETSabEst.FURG,,,, RS,
PET Educação Física,Universidade Estadual de Londrina,Campus Londrina,Londrina ,petedfuel@gmail.com,petef.webs.com/apresentao.htm,Ciências da Saúde,,2010,https://instagram.com/petef.uel,,,https://www.youtube.com/channel/UCLyyhEiJLnIaXKngFnYNVWA,, PR,
PET Geografia,Fundação Universidade do Estado de Santa Catarina,Campus Florianópolis,Florianópolis ,petgeoudescdrive@gmail.com,udesc.br/faed/petgeo,Ciências Humanas,,1994,https://instagram.com/petgeoudesc,https://cenapet.org/grupos/30/facebook.com/petgeoudesc,,https://cenapet.org/grupos/30/youtube.com/PETGeoTube,, SC,udesc.br/servicos/pets
PET Bio Pontal,Universidade Federal de Uberlândia,Campus Pontal,Ituiutaba ,petbiopontal@hotmail.com,petbiopontal.wixsite.com/petbio/,Ciências Biológicas,,2009,https://instagram.com/petbiopontal,https://www.facebook.com/petbiopontal,,,, MG,www.icenp.ufu.br/graduacao/ciencias-biologicas/saiba-mais/pet
PET Zootecnia,Universidade de São Paulo,Campus Pirassununga,Pirassununga ,petzootecnia@usp.br,petzoofzea.com.br/,Ciências Agrárias,,1994,https://instagram.com/@petzoousp,https://www.facebook.com/PET.ZOOTECNIA.USP/,,https://www.youtube.com/channel/UC2H61cQSH_82dgnrrqghmSg,https://www.linkedin.com/company/pet-zootecnia-fzea-usp/, SP,
PET Engenharia Biomédica,Universidade Federal de Uberlândia,Campus Santa Mônica,Uberlândia ,pet.engenhariabiomedica.ufu@gmail.com,petengenhariabiomedica.com/,Engenharias,,2010,https://instagram.com/petengenhariabiomedica,https://www.facebook.com/PetEngenhariaBiomedicaUfu,,https://www.youtube.com/channel/UCGI5CoLikr9Bnm5S7h14y8Q,, MG,
PET Biologia,Universidade Federal do Amazonas,Campus Manaus,Manaus ,petbiologiaufam@ufam.edu.br,pet-biologiaufam.wixsite.com/home,Ciências Biológicas,,1992,https://instagram.com/petbiologiaufam,https://web.facebook.com/petbiologiaufam/?view_public_for=237110539786459,,https://www.youtube.com/channel/UCP65m75m0zgtyFOyYhtKDVA,https://www.tiktok.com/@petbiologiaufam?_d=db7b2i7317e880&language=pt&sec_uid=MS4wLjABAAAASdswVoHCiAYgas8IQCkYMQs0ZF2vuI_jbHJ62ElvFPKbgQPA5ZluLc5ekzWrYNoF&share_author_id=6800655467677778950&u_code=db7al1gmckjg7d&timestamp=1595275955&user_id=6800655467677778950&utm_source=copy&utm_campaign=client_share&utm_medium=android&share_app_name=musically&share_iid=6849197674659661574&source=h5_m, AM,
PET Educação Física,Universidade Federal do Rio Grande do Sul,Campus Centro,Porto Alegre ,petefi.ufrgs@gmail.com,,Ciências da Saúde,,1989,https://instagram.com/petefiufrgs,https://cenapet.org/grupos/35/facebook.com/PETEFIUFRGS,,https://www.youtube.com/channel/UCiMyTfAGeTEc62XwT1IFRtQ,, RS,ufrgs.br/petefi
PET Engenharia Elétrica,Universidade Federal de Mato Grosso,Campus Cuiabá,Cuiabá ,peteneufmt@gmail.com,www.peteletricaufmt.com/,Engenharias,,2010,https://instagram.com/peteletricaufmt,,,https://www.youtube.com/channel/UCFC9PwjAA63tp0SX2uOsPYA,, MT,www.ufmt.br/pro-reitoria/proeg/pagina/coordenacao-de-formacao-docentecfd/1432
PET Matemática,Universidade Estadual de Londrina,Campus Londrina,Londrina ,petmat@uel.br,,Ciências Exatas e da Terra,,2006,https://instagram.com/petmat.uel,https://www.facebook.com/PET.Mat.Uel,,https://www.youtube.com/channel/UCdjOAtGddMNIECJAl3Nb1rA,, PR,www.uel.br/programas/petmat/
PET Práticas Integradas em Saúde Coletiva,Fundação Universidade Federal do Pampa,Campus Uruguaiana,Uruguaiana ,petpiscunipampa2020@gmail.com,,Ciências da Saúde,Saúde Coletiva,2010,https://instagram.com/petpisc,https://www.facebook.com/petpisc,,https://www.youtube.com/channel/UCqf1ii5EUQHSwNS_4npdglg,, RS,sites.unipampa.edu.br/petpisc/
PET Engenharias,Universidade Estadual de Feira de Santana,Campus Feira de Santana,Feira de Santana ,petengsuefs@gmail.com,sites.google.com/view/petengsuefs/p%C3%A1gina-inicial,Interdisciplinar,,2010,https://instagram.com/pet.engs.uefs,https://www.facebook.com/petengsuefs,,https://www.youtube.com/channel/UCrhztdfvYLQhBmyledhjjmg,, BA,www.ecomp.uefs.br/public_html/pet.php
PET Conexões Administração,Universidade Federal do Espírito Santo,Campus Goiabeiras,Vitória ,petadmufes@gmail.com,,Ciências Sociais Aplicadas,,2013,https://instagram.com/petadmufes,,,https://www.youtube.com/channel/UCxq1zAlDIQVt90sJ-JBNprA,, ES,petadm.ufes.br/
PET de Engenharia Civil,Universidade Federal do Ceará,Campus Pici,Fortaleza ,bertini@ufc.br,petcivil.ufc.br/portal/,Engenharias,,1992,https://instagram.com/petcivil,https://web.facebook.com/ufcpetcivil/?_rdc=1&_rdr,,https://www.youtube.com/channel/UCV-Xoyz5XoVxfYXXVJqrrhg,https://br.linkedin.com/company/petcivilufc, CE,
PET Conexões Licenciaturas,Universidade Federal do Espírito Santo,Campus Goiabeiras,Vitória ,petlicufes@gmail.com,,Interdisciplinar,Docência,2010,https://instagram.com/petlicufes,https://www.facebook.com/petlicufes,https://twitter.com/petlic_ufes,https://www.youtube.com/channel/UCUnudVOLbn3KmqIj3XYNyBA,, ES,prograd.ufes.br/programa-de-educacao-tutorial-pet
PET Biologia,Universidade Federal do Ceará,Campus Pici,Fortaleza ,petbiologiaufc@gmail.com,,Ciências Biológicas,,1992,https://instagram.com/petbiologiaufc,https://www.facebook.com/petbiologiaufc/,,https://www.youtube.com/user/petbiologiaufc/featured,, CE,prograd.ufc.br/pt/bolsas/bolsas-do-pet-sesu-programa-de-educacao-tutorial-secretaria-de-educacao-superior/
PET Biomedicina,Escola Bahiana de Medicina e Saúde Pública,Campus Cabula,Cabula ,pet-biomedicina@googlegroups.com,,Ciências da Saúde,,2010,https://instagram.com/petbiomed,https://www.facebook.com/petbiomedicinaebmsp,,,, BA,
PET Engenharia Mecânica,Universidade Federal do Ceará,Campus Pici,Fortaleza ,petmec@ufc.br,blogbempessoal.wordpress.com,Engenharias,,1994,https://instagram.com/petmecufc,https://www.facebook.com/PETEngenhariaMecanicaUFC,,https://www.youtube.com/channel/UChhz-YprztOkeHcrW8dKl1w,https://anchor.fm/pet-mecnica-ufc, CE,
PET Agricultura Familiar,Universidade Tecnológica Federal do Paraná,Campus Dois Vizinhos,Dois Vizinhos ,petafdv@gmail.com,www.petagriculturafamiliar.com,Ciências Agrárias,,2010,https://instagram.com/petafdv,https://www.facebook.com/petagriculturafamiliar,,https://www.youtube.com/channel/UCGINzDk3Sb2x4sTrYiYw0YA,, PR,
PET Direitos,Universidade de São Paulo,Campus Ribeirão Preto,Ribeirão Preto ,pet_direitos@usp.br,,Ciências Sociais Aplicadas,,2012,https://instagram.com/petdireitos,https://www.facebook.com/PETDireitos,,https://www.youtube.com/channel/UCwByZCTCCnylC07JbNed4Fg,, SP,
PET Interdisciplinar Conexões de Saberes,Universidade Federal do Pará,Campus Belém,Belém ,petconexoesdesaberesufpa@gmail.com,,Interdisciplinar,,2010,,https://facebook.com/petinterdisciplinar,,,, PA,
PET Medicina Veterinária,Universidade Estadual Paulista Júlio de Mesquita Filho,Campus Botucatu,Botucatu ,grupopet.fmvz@gmail.com,,Ciências Agrárias,,1995,https://instagram.com/petveterinaria_btu,https://www.facebook.com/petfmvzbotucatu/,,https://www.youtube.com/channel/UCbS16iDOq4ZrQg5RCMeDJlA/featured,, SP,www.fmvz.unesp.br/#!/ensino/extensao/pet
PET Agronomia,Universidade Federal do Ceará,Campus Pici,Fortaleza ,petagronomia@ufc.br,,Ciências Agrárias,,1992,https://instagram.com/petagronomiaufc/,https://www.facebook.com/petagronomiaufc/,,,, CE,www.petagronomia.ufc.br
PET Engenharia Civil,Universidade Federal do Rio Grande do Sul,Campus Centro,Porto Alegre ,petcivil@ufrgs.br,,Engenharias,,1992,https://instagram.com/petcivilufrgs,https://www.facebook.com/ufrgs.petcivil,https://twitter.com/petcivilufrgs,https://www.youtube.com/user/petcivilufrgs,https://www.linkedin.com/company/petcivilufrgs, RS,www.ufrgs.br/petcivil/
PET Humanidades e Letras,Universidade da Integração Internacional da Lusofonia Afro-brasileira,Campus Auroras,Auroras ,pethl@unilab.edu.br,www.pethl.unilab.edu.br/,Interdisciplinar,Práticas interdisciplinares focadas na tríade ensino-pesquisa-extensão.,2013,https://instagram.com/pethldaunilab,,,,, CE,
PET Engenharia de Alimentos,Fundação Universidade Federal da Grande Dourados,Campus Unidade II,Dourados ,petalimentos.ufgd@gmail.com,petalimentosufgd.blogspot.com/,Engenharias,,2010,https://instagram.com/peteng.alimentos,https://www.facebook.com/petalimentos.ufgd,,,, MS,portal.ufgd.edu.br/programas/pet/index
PET Geografia,Universidade Federal Fluminense,Campus Praia Vermelha,Niterói ,petgeo.uff@gmail.com,,Ciências Humanas,,1996,https://instagram.com/petgeografiauff,https://www.facebook.com/petgeografiauff,,https://www.youtube.com/channel/UCPIFK2IGs_jcViQnXbkmOdQ,https://linktr.ee/petgeografiauff, RJ,
PET Letras,Fundação Universidade Federal da Grande Dourados,Campus Unidade II,Dourados ,petletras.ufgd@ufgd.edu.br,petletrasufgd.wordpress.com/,"Linguística, Letras e Arte",,2010,https://instagram.com/petletrasufgd,,https://twitter.com/pet_letrasufgd,,https://cutt.ly/petletrasufgd, MS,portal.ufgd.edu.br/programas/pet/index
PET Engenharias,Fundação Universidade Federal do Pampa,Campus Bagé,Bagé ,petengenharias.unipampa@gmail.com,sites.unipampa.edu.br/petengenharias/,Engenharias,Interdisciplinar,2012,https://instagram.com/petengenharias.unipampa,https://www.facebook.com/PETEngenhariasBG/,,https://www.youtube.com/channel/UC-1WGgm8C7-X12KvOBTclXQ,https://www.linkedin.com/company/pet-engenharias, RS,
PET Engenharia Florestal,Universidade Federal de Mato Grosso,Campus Cuiabá,Cuiabá ,petengenhariaflorestalufmt@gmail.com,www.petengenhariaflorestal.com.br/,Ciências Agrárias,,1981,https://instagram.com/petfloresta.ufmt,https://www.facebook.com/petfloresta.ufmt,,https://www.youtube.com/channel/UClnWHbJltXHkeBME7IifL5Q,, MT,
PET Cidade Saúde e Justiça,Universidade Federal do Piauí,Campus Picos,Picos ,petcsj@gmail.com,,Interdisciplinar,,2010,https://instagram.com/pet.ufpipicos,,,https://www.youtube.com/channel/UCvGP4hAMyOB_3qKFbvxOlbQ?view_as=subscriber,, PI,www.ufpi.br/pet
PET Conexões de Saberes Socioambientais,Universidade Federal do Recôncavo da Bahia,Campus Cruz das Almas,Cruz das Almas ,petsocioambientais@ccaab.ufrb.edu.br,www2.ufrb.edu.br/petsocioambientais/,Interdisciplinar,Socioambiental,2010,https://instagram.com/pet_socioambientais.ufrb,https://www.facebook.com/petrocaufrb,https://twitter.com/@,https://www.youtube.com/channel/UC7d8HxwhOT889yx0Di969Vw,, BA,www2.ufrb.edu.br/petsocioambientais/
PET Biologia,Universidade Federal de São Carlos,Campus São Carlos,São Carlos ,pet.bio.ufscar@ufscar.br,www.petbioufscar.com/,Ciências Biológicas,,1968,https://instagram.com/petbiologia.ufscar,https://www.facebook.com/petbioufscar,,https://www.youtube.com/channel/UCi-aqFNfx_mMv12-c6sOy8Q,, SP,
PET Biologia,Universidade Regional de Blumenau,Campus Blumenau,Blumenau ,petbiofurb@gmail.com,petbiofurb.blogspot.com/,Ciências Biológicas,,1996,https://instagram.com/petbiofurb,,,https://www.youtube.com/user/PETBioFURB,, SC,
PET História,Universidade Federal do Paraná,Campus Rebouças,Curitiba ,memoria.pet.historia@gmail.com,pethistoriaufpr.wordpress.com/,Ciências Humanas,,1992,https://instagram.com/pethistoria.ufpr,https://www.facebook.com/PetHistoriaUfpr,,https://www.youtube.com/channel/UCxUEx7dobCVQkYeSrFZgVZQ,, PR,
PET Nutrição,Universidade Federal da Bahia,Campus Canela,Salvador ,petnutufba@gmail.com,www.petnut.nut.ufba.br/,Ciências da Saúde,,2010,https://instagram.com/%20petnutufba,https://www.facebook.com/PET-Nutri%C3%A7%C3%A3o-UFBA-120289898099265,,https://www.youtube.com/channel/UCmzHZmBQZKcDQiPh-ncf3Lg,, BA,www.petnut.nut.ufba.br/
PET Engenharia Civil,Universidade Federal do Paraná,Campus Centro Politécnico,Curitiba ,petcivilufpr@gmail.com,petcivil.blogspot.com/,Engenharias,,1983,https://instagram.com/petcivilufpr,https://www.facebook.com/petcivil,,https://www.youtube.com/user/PETCivilUFPR,, PR,
PET Engenharia Química,Universidade Estadual de Campinas,Campus Campinas,Campinas ,petfeq@unicamp.br,sites.google.com/unicamp.br/petequnicamp/,Engenharias,,2011,https://instagram.com/petequnicamp,,,https://www.youtube.com/channel/UCPoYJc4g9JuSKpuAYHoH37w,https://www.linkedin.com/company/pet-eq-unicamp/, SP,
PET Educação,Universidade Federal de Viçosa,Campus Viçosa,Viçosa ,peteducacao@ufv.br,www.petedu.ufv.br/,Ciências Humanas,,2010,https://instagram.com/peteduufv,https://cenapet.org/grupos/66/PET%20Educa%C3%A7%C3%A3o%20UFV,,https://cenapet.org/grupos/66/PET%20EDU%20UFV:%20https://www.youtube.com/channel/UCpa0PmfTMiYEofv2b4sfYSA,, MG,
PET Engenharia Elétrica,Universidade Federal do Ceará,Campus Pici,Fortaleza ,pet@dee.ufc.br,www.peteletrica.ufc.br,Engenharias,,1983,https://instagram.com/peteletricaufc,https://www.facebook.com/PetEletricaUfc,,https://www.youtube.com/channel/UCa7ECEIszocpWAeUUHPtZWg,, CE,
PET Administração,Universidade Federal do Amazonas,Campus Manaus,Manaus ,petadmufam0@gmail.com,petadmufam.com.br,Ciências Sociais Aplicadas,,1989,https://instagram.com/petadmufam,https://www.facebook.com/petadmufam/,,,, AM,ufam.edu.br/ultimas-noticias/1718-programa-de-educacao-tutorial-pet-do-curso-de-administracao-divulga-atividades-online-para-o-mes-de-agosto.html
PET Medicina,Universidade Federal do Amazonas,Campus Manaus,Manaus ,petufammedicina@gmail.com,,Ciências da Saúde,,1994,https://instagram.com/petmedicinaufam,,,,, AM,
PET AgroEnergia,Universidade Federal Rural de Pernambuco,Campus Dois Irmãos,Recife ,petagroenergia@ufrpe.br,petagroenergi2.wixsite.com/pet-agroenergia,Ciências Agrárias,Inovação tecnológica,2012,https://instagram.com/petagroenergia,https://www.facebook.com/petagroenergia.ufrpe,https://twitter.com/petagroenergia,https://www.youtube.com/channel/UCuMZVkHYad8jwtEztNqzKrQ,https://www.linkedin.com/in/pet-agroenergia-4937b6145/, PE,
PET Comunicação Social,Universidade Federal do Amazonas,Campus Manaus,Manaus ,petcomufam@hotmail.com,medium.com/petcomufam/about,Ciências Sociais Aplicadas,,1988,https://instagram.com/petcomufam,https://www.facebook.com/petcomufam,https://twitter.com/petcomufam,https://www.youtube.com/user/petcomufam,, AM,medium.com/petcomufam/about
PET Engenharia de Controle e Automação,Centro Federal de Educação Tecnológica de Minas Gerais,Campus Leopoldina,Leopoldina ,petencaut2011@gmail.com,,Engenharias,Desenvolvimento de ferramental para a área de controle e automação,2010,https://instagram.com/petencaut,,,https://youtube.com/user/Petencaut,https://www.linkedin.com/mwlite/company/petencaut, MG,www.petencaut.cefetmg.br/
PET Geografia,Fundação Universidade Federal da Grande Dourados,Campus Unidade II,Dourados ,petgeoufgd@gmail.com,petgeoufgd.blogspot.com/,Ciências Humanas,,2008,https://instagram.com/petgeografiaufgd,https://www.facebook.com/PetGeografiaUFGD/,,https://www.youtube.com/channel/UChjuKren2gsD1NmEUS8KlUQ,, MS,
PET Química,Universidade Federal de Alagoas,Campus Arapiraca,Arapiraca ,ufal.pet.quimica@gmail.com,petquimicaufal.wixsite.com/petquimica,Ciências Exatas e da Terra,,2010,https://instagram.com/petquimicaufal,https://facebook.com/petquimicaufal,,,, AL,ufal.br/estudante/graduacao/programas/educacao-tutorial-pet/pet-quimica
PET Arquitetura,Universidade Federal de Alagoas,Campus A. C. Simões,Maceió ,petarqufal@gmail.com,petarqufal.wixsite.com/petarq,Ciências Sociais Aplicadas,,1995,https://instagram.com/petarqufal,https://www.facebook.com/petarqufal/,https://twitter.com/petarqufal,https://www.youtube.com/channel/UCYyQMtfgdr49mnu2_MSYpSQ,https://linktr.ee/petarqufal, AL,pet.ufal.br/petarq
PET Matemática,Universidade Federal de Santa Maria,Campus Santa Maria,Santa Maria ,pet.matematica@ufsm.br,,Ciências Exatas e da Terra,,1992,https://instagram.com/petmatematicaufsm,https://www.facebook.com/petmatematicaufsm,,https://www.youtube.com/channel/UCbybdrX0tWjkQMHE3QP2JOg,, RS,www.ufsm.br/pet/matematica/
PET Engenharia Civil,Universidade Federal de Alagoas,Campus A. C. Simões,Maceió ,petengcv@gmail.com,www.petcivilufal.com/,Engenharias,,1988,https://instagram.com/petcivilufal,https://www.facebook.com/petcvufal,,https://www.youtube.com/PETCivilUFAL,, AL,ufal.br/estudante/graduacao/programas/educacao-tutorial-pet/pet-engenharia-civil
PET EEL UFSC,Universidade Federal de Santa Catarina,Campus Florianópolis,Florianópolis ,peteel@gmail.com,www.peteel.ufsc.br/,Engenharias,,1991,https://instagram.com/peteelufsc,https://www.facebook.com/peteelufsc/,,https://www.youtube.com/user/PETEELchannel,https://br.linkedin.com/company/pet-eel, SC,
PET Engenharias da Mobilidade,Universidade Federal de Santa Catarina,Campus Joinville,Joinville ,petemb.ufsc@gmail.com,petemb.ufsc.br/,Engenharias,,2010,https://instagram.com/petembufsc,https://www.facebook.com/petembufsc,,https://www.youtube.com/channel/UCq6kdbBkf0RAGTuSzhMk_Vg/featured,https://www.linkedin.com/company/pet-emb/about/, SC,petemb.ufsc.br/
